Title,Effective date,No,Year,Actions,Variations to the standard definition of Environmentally  Sensitive Area
,,,,,(jb)  land identified as “Environmentally Sensitive Area” on the Environmentally Sensitive Land Map.
Hornsby Local Environmental Plan 2013,31-10-2025,569,2013,,
Hunters Hill Local Environmental Plan 2012,03-10-2025,34,2013,,(ja)  land identified as “River Front Area” on the River Front Area Map.
Inner West Local Environmental Plan 2022,06-03-2026,457,2022,,
Inverell Local Environmental Plan 2012,19-09-2025,614,2012,,
Jerilderie Local Environmental Plan 2012,19-09-2025,263,2012,,
Junee Local Environmental Plan 2012,19-09-2025,674,2012,,
Kempsey Local Environmental Plan 2013,19-09-2025,712,2013,,
Kiama Local Environmental Plan 2011,19-09-2025,680,2011,,"(ja)  land identified on the Acid Sulfate Soils Map as Class 1 or Class 2 land,"
,,,,,"(jb)  land in the foreshore area,"
,,,,,"(jc)  land identified as “Biodiversity land” on the Terrestrial Biodiversity Map,"
Ku-ring-gai Local Environmental Plan 2015,12-12-2025,134,2015,,
Kyogle Local Environmental Plan 2012,19-09-2025,25,2013,,
Lachlan Local Environmental Plan 2013,19-09-2025,429,2013,,
Lake Macquarie Local Environmental Plan 2014,19-09-2025,605,2014,,(ja)  land identified as “Environmentally sensitive area” on the Environmentally Sensitive Area Map.
Lane Cove Local Environmental Plan 2009,19-09-2025,49,2010,,
Leeton Local Environmental Plan 2014,19-09-2025,353,2014,,
Lismore Local Environmental Plan 2000,01-11-2023,173,2000,,Exempt and complying development may be carried out within an environmentally sensitive area described in the Table to this clause only if the development is listed in that Table as development that can be carried out in such an area.
Lismore Local Environmental Plan 2012,20-03-2026,66,2013,,
Lithgow Local Environmental Plan 2014,19-09-2025,824,2014,,
Liverpool Local Environmental Plan 2008,20-02-2026,403,2008,,
Liverpool Plains Local Environmental Plan 2011,19-09-2025,644,2011,,
Lockhart Local Environmental Plan 2012,19-09-2025,676,2012,,
Maitland Local Environmental Plan 2011,19-09-2025,681,2011,,
Manly Local Environmental Plan 2013,19-09-2025,140,2013,,
Mid-Western Regional Local Environmental Plan 2012,26-09-2025,374,2012,,
Moree Plains Local Environmental Plan 2011,19-09-2025,646,2011,,
Mosman Local Environmental Plan 2012,31-10-2025,647,2011,,
Murray Local Environmental Plan 2011,31-10-2025,682,2011,,
Murrumbidgee Local Environmental Plan 2013,19-09-2025,471,2013,,
Muswellbrook Local Environmental Plan 2009,19-09-2025,129,2009,,
Nambucca Local Environmental Plan 2010,07-11-2025,401,2010,,
Narrabri Local Environmental Plan 2012,03-10-2025,636,2012,,
Narrandera Local Environmental Plan 2013,19-09-2025,357,2013,,
Narromine Local Environmental Plan 2011,19-09-2025,648,2011,,
Newcastle Local Environmental Plan 2012,06-02-2026,255,2012,,
North Sydney Local Environmental Plan 2013,19-09-2025,411,2013,,
Oberon Local Environmental Plan 2013,19-09-2025,713,2013,,
Orange Local Environmental Plan 2011,19-09-2025,55,2012,,
Parkes Local Environmental Plan 2012,17-10-2025,615,2012,,
Parramatta Local Environmental Plan 2023,28-11-2025,117,2023,,(ja)  land identified as “Biodiversity” on the Natural Resources Map.
Penrith Local Environmental Plan 2010,,,,,"(ja)  land in Zone C1 National Parks and Nature Reserves, Zone C2 Environmental Conservation, Zone W1 Natural Waterways or Zone W2 Recreational Waterways,"
,,,,,"(jb)  land shown as “Natural Resources sensitive land” on the Natural Resources Sensitivity Land Map,"
,,,,,"(jc)  land that is, or adjoins, the Hawkesbury-Nepean River,"
,,,,,(jd)  land that is part of or adjoins—
,,,,,"(i)  a Riverine Scenic Area under State Environmental Planning Policy (Biodiversity and Conservation) 2021, Chapter 6, or"
,,,,,"(ii)  a Hawkesbury-Nepean conservation area sub-catchment under State Environmental Planning Policy (Biodiversity and Conservation) 2021, Chapter 6."
Pittwater Local Environmental Plan 2014,19-09-2025,320,2014,,
Port Macquarie-Hastings Local Environmental Plan 2011,05-12-2025,84,2011,,
Port Stephens Local Environmental Plan 2013,13-03-2026,755,2013,,
Queanbeyan-Palerang Regional Local Environmental Plan 2022,06-03-2026,600,2022,,
Randwick Local Environmental Plan 2012,31-10-2025,36,2013,,(ja)  land identified as “Biodiversity” on the Terrestrial Biodiversity Map.
Richmond Valley Local Environmental Plan 2012,19-09-2025,98,2012,,
Ryde Local Environmental Plan 2014,31-10-2025,608,2014,,
Shellharbour Local Environmental Plan 2013,19-09-2025,141,2013,,
Shoalhaven Local Environmental Plan 2014,19-09-2025,179,2014,,"(ja)  land identified as riparian land by clause 7.6(2)(a),"
,,,,,(jb)  land identified as “Excluded Land” on the Terrestrial Biodiversity Map.
Shoalhaven Local Environmental Plan (Jerberra Estate) 2014,19-09-2025,51,2014,,
Singleton Local Environmental Plan 2013,28-11-2025,524,2013,,
Snowy River Local Environmental Plan 2013,19-09-2025,700,2013,,(ja)  land identified as “Lake Eucumbene and Lake Jindabyne” on the Scenic Protection Area Map.
Strathfield Local Environmental Plan 2012,06-03-2026,115,2013,,
Sutherland Shire Local Environmental Plan 2006,10-11-2023,669,2006,,
